DATE,DAILY_NET_SALES_UOM_QTY
11/15/13,136
11/19/15,158
3/11/2011,134
10/29/11,127
3/14/13,152
7/25/12,123
11/16/13,186
1/31/17,258
12/17/14,196
4/30/14,117
11/20/15,197
10/30/11,185
7/26/12,117
11/17/13,246
4/28/16,362
3/12/2011,149
3/15/13,137
10/31/11,135
11/21/15,203
7/27/12,95
3/13/11,175
12/18/14,166
3/16/13,161
11/18/13,202
2/1/2017,240
5/1/2014,146
11/22/15,234
4/29/16,397
3/14/11,166
11/19/13,134
3/17/13,225
7/28/12,132
11/1/2011,139
12/19/14,161
2/2/2017,289
5/2/2014,166
11/23/15,235
7/29/12,174
3/15/11,114
11/2/2011,101
11/20/13,140
3/18/13,171
4/30/16,462
11/24/15,245
7/30/12,291
3/16/11,111
2/3/2017,249
5/3/2014,175
11/21/13,138
12/20/14,205
11/3/2011,110
3/19/13,135
11/25/15,297
7/31/12,300
3/17/11,109
11/22/13,143
11/4/2011,131
5/1/2016,534
3/20/13,177
11/26/15,
12/21/14,233
2/4/2017,346
5/4/2014,205
8/1/2012,243
11/23/13,186
3/18/11,137
11/5/2011,156
11/27/15,149
3/21/13,145
8/2/2012,306
3/19/11,158
11/24/13,190
5/2/2016,220
11/6/2011,187
11/28/15,183
3/22/13,114
2/5/2017,318
3/20/11,178
5/5/2014,233
11/25/13,162
12/22/14,254
8/3/2012,140
11/7/2011,131
11/29/15,232
11/26/13,220
3/23/13,164
8/4/2012,150
3/21/11,150
11/8/2011,103
