DATE,TEMP,PRICE,SALES,COUPON,HOLIDAY
6/16/13,63.95,5.99,197,0,0
10/25/10,57.2,5.79,143,0,0
10/29/16,64,5.99,226,0,0
11/4/2012,63.95,5.99,236,0,0
2/19/12,48,5.99,198,0,0
6/12/2015,69.1,5.99,177,0,0
6/17/13,62.1,5.99,215,0,0
2/23/16,56.9,5.99,166,0,0
10/26/10,55,5.79,126,0,0
2/20/12,51.1,5.99,188,0,1
1/27/14,48.9,5.99,165,0,0
11/5/2012,65.45,5.99,188,0,0
10/10/2014,58.45,5.99,163,0,0
10/30/16,61,5.99,267,0,0
6/13/15,64.9,5.99,153,0,0
10/27/10,58.45,5.79,114,0,0
6/18/13,59,5.99,167,0,0
2/21/12,53.1,5.99,149,0,0
11/6/2012,65,5.99,174,0,0
10/31/16,59,5.99,207,0,0
6/14/15,57.9,5.99,200,0,0
2/22/12,54.5,5.99,137,0,0
10/28/10,63.95,5.79,119,0,0
6/19/13,60.55,5.99,161,0,0
11/7/2012,57.9,5.99,146,0,0
10/11/2014,61,5.99,139,0,0
1/28/14,59.55,5.99,121,0,0
2/24/16,58.45,5.99,207,0,0
6/15/15,58.45,5.99,181,0,0
11/8/2012,54,5.99,160,0,0
2/23/12,60.1,5.99,114,0,0
6/20/13,61.55,5.99,163,0,0
10/29/10,61.55,5.79,111,0,0
11/1/2016,57.9,5.99,211,0,0
5/31/11,57.9,5.99,190,0,0
1/29/14,57.9,5.99,133,0,0
10/12/2014,71.1,5.99,209,0,0
2/25/16,61.1,5.99,179,0,0
10/30/10,57.45,5.79,164,0,0
2/24/12,60.55,5.99,133,0,0
6/1/2011,56.45,5.99,141,0,0
6/16/15,62.1,5.99,178,0,0
11/9/2012,49.45,5.99,148,0,0
6/21/13,62.1,5.99,133,0,0
11/2/2016,58.45,5.99,182,0,0
10/31/10,58.45,5.79,172,0,0
2/25/12,50.55,5.99,185,0,0
10/13/14,66,5.99,167,0,1
1/30/14,53.1,5.99,110,0,0
6/17/15,62,5.99,194,0,0
2/26/16,60.1,5.99,205,0,0
6/2/2011,57.45,5.99,98,0,0
6/22/13,64.9,5.99,149,0,0
11/10/2012,48.45,5.99,208,0,0
11/1/2010,61,5.79,150,0,0
2/26/12,46.45,5.99,240,0,0
6/18/15,63,5.99,166,0,0
6/3/2011,59,5.99,154,0,0
6/23/13,64.4,5.99,171,0,0
11/2/2010,63.05,5.79,101,0,0
1/31/14,51.8,5.99,111,0,0
11/11/2012,48,5.99,251,0,1
2/27/12,46,5.99,165,0,0
10/14/14,64.9,5.99,153,0,0
11/3/2016,59.55,5.99,211,0,0
6/19/15,61,5.99,143,0,0
6/4/2011,59,5.99,169,0,0
11/3/2010,64,5.79,93,0,0
11/12/2012,51,5.99,178,0,1
2/28/12,50,5.99,145,0,0
6/24/13,64.2,5.99,196,0,0
2/27/16,59,5.99,226,0,0
2/1/2014,47.45,5.99,137,0,0
10/15/14,64,5.99,154,0,0
6/20/15,68,5.99,168,0,0
2/29/12,48.9,5.99,113,0,0
6/5/2011,59,5.99,175,0,0
11/13/12,53.1,5.99,123,0,0
11/4/2010,66.45,5.79,101,0,0
6/25/13,71.1,5.99,166,0,0
11/4/2016,60,5.99,222,0,0
6/21/15,60.1,5.99,165,0,0
2/28/16,57,5.99,239,0,0
3/1/2012,48.45,5.99,150,0,0
6/6/2011,59,5.99,130,0,0
11/5/2010,62.1,5.79,130,0,0
2/2/2014,47.45,5.99,188,0,0
11/14/12,56,5.99,144,0,0
10/16/14,59,5.99,159,0,0
6/26/13,68,5.99,141,0,0
6/22/15,60.45,5.99,181,0,0
6/7/2011,59.55,5.99,135,0,0
3/2/2012,50,5.99,122,0,0
11/6/2010,59,5.79,156,0,0
11/5/2016,60.1,5.99,263,0,0
11/15/12,58.45,5.99,109,0,0
6/27/13,72.05,5.99,188,0,0
2/29/16,57.9,5.99,218,0,0
10/17/14,64,5.99,146,0,0
2/3/2014,46.45,5.99,183,0,0
6/23/15,64,5.99,175,0,0
6/8/2011,59,5.99,124,0,0
3/3/2012,55,5.99,165,0,0
11/7/2010,57.9,5.79,179,0,0
11/16/12,61,5.99,152,0,0
6/28/13,74.9,5.99,131,0,0
11/6/2016,63,5.99,327,0,0
3/4/2012,56.45,5.99,220,0,0
6/24/15,64,5.99,135,0,0
6/9/2011,57.2,5.99,140,0,0
11/8/2010,53,5.79,124,0,0
11/17/12,60.1,5.99,170,0,0
6/29/13,76.45,5.99,131,0,0
10/18/14,63.5,5.99,154,0,0
2/4/2014,46.45,5.99,176,0,0
3/1/2016,60,5.99,187,0,0
3/5/2012,50,5.99,198,0,0
6/25/15,72.05,5.99,145,0,0
6/10/2011,59.55,5.99,126,0,0
11/9/2010,52.55,5.79,112,0,0
11/7/2016,62.1,5.99,216,0,0
6/30/13,71,5.99,215,0,0
11/18/12,54,5.99,243,0,0
3/6/2012,48.2,5.99,186,0,0
6/26/15,68,5.99,122,0,0
11/10/2010,53.1,5.79,115,0,0
6/11/2011,59,5.99,136,0,0
10/19/14,59,5.99,216,0,0
3/2/2016,59.55,5.99,167,0,0
2/5/2014,48,5.99,170,0,0
7/1/2013,72.5,5.99,172,0,0
3/7/2012,49.45,5.99,118,0,0
11/19/12,57,5.99,196,0,0
11/8/2016,63.5,5.99,216,0,0
6/27/15,67.45,5.99,155,0,0
6/12/2011,59,5.99,174,0,0
11/11/2010,54.95,5.79,134,0,1
7/2/2013,70,5.99,163,0,0
3/8/2012,55,5.99,169,0,0
11/20/12,62.1,5.99,171,0,0
6/28/15,64.9,5.99,205,0,0
2/6/2014,51.1,5.99,177,0,0
10/20/14,61,5.99,191,0,0
3/3/2016,61.55,5.99,234,0,0
11/12/2010,53.4,5.79,128,0,0
6/13/11,61,5.99,143,0,0
3/9/2012,52.1,5.99,155,0,0
11/9/2016,62.1,5.99,195,0,0
7/3/2013,71,5.99,179,0,0
11/21/12,59,5.99,208,0,0
6/29/15,64,5.99,193,0,0
6/14/11,64.9,5.99,113,0,0
11/13/10,59,5.79,146,0,0
3/10/2012,50,5.99,207,0,0
7/4/2013,,,,,1
11/22/12,,,,,1
10/21/14,59,5.99,194,0,0
2/7/2014,53.1,5.99,154,0,0
3/4/2016,63,5.99,197,0,0
6/30/15,72,5.99,173,0,0
11/10/2016,66.45,5.99,213,0,0
6/15/11,68,5.99,104,0,0
11/14/10,69.1,5.79,179,0,0
3/11/2012,50.55,5.99,237,0,0
11/23/12,54.05,5.99,108,0,0
7/5/2013,64,5.99,200,0,0
7/1/2015,72,5.99,177,0,0
6/16/11,62.1,5.99,121,0,0
3/12/2012,55.45,5.99,178,0,0
11/15/10,65.45,5.79,154,0,0
11/24/12,53.55,5.99,108,0,0
